status,variant,preset,M,N,throughput_tps,throughput_e2e_tps,points_per_s,loop_ms,total_ms,med_loss_fp64,K_max,n_dropped,frac_converged,frac_failed,skip_reason,est_footprint_gb
skipped,revad,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
skipped,revad,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,revad,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,revad,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,revad,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,revad,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,revad,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,revad,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
skipped,revad,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
skipped,revad,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
