corpus,problem,cap,gen,mean_K,mean_nodes,K_max
evogp,nguyen/7,32,0,1.715,6.955,7
evogp,nguyen/7,32,1,1.141,4.893,9
evogp,nguyen/7,32,2,0.632,3.374,8
evogp,nguyen/7,32,4,0.878,4.646,9
evogp,nguyen/7,32,8,2.029,11.718,9
evogp,nguyen/7,32,16,3.618,20.64,10
evogp,nguyen/7,32,32,1.898,26.212,6
evogp,nguyen/7,32,64,1.731,26.548,5
evogp,nguyen/7,32,100,1.75,26.889,6
operon,nguyen/8,32,0,6.505,23.127,15
operon,nguyen/8,32,1,5.633,19.258,15
operon,nguyen/8,32,2,5.254,17.265,15
operon,nguyen/8,32,4,6.392,21.146,16
operon,nguyen/8,32,8,8.881,28.782,15
operon,nguyen/8,32,16,9.986,33.294,16
operon,nguyen/8,32,32,9.691,32.364,15
operon,nguyen/8,32,64,8.93,29.822,15
operon,nguyen/8,32,100,9.681,33.826,15
evogp,nguyen/8,32,0,1.715,6.955,7
evogp,nguyen/8,32,1,1.099,4.271,9
evogp,nguyen/8,32,2,1.448,5.199,11
evogp,nguyen/8,32,4,1.806,5.952,11
evogp,nguyen/8,32,8,4.128,13.59,14
evogp,nguyen/8,32,16,5.771,22.879,14
evogp,nguyen/8,32,32,4.7,25.352,10
evogp,nguyen/8,32,64,5.215,26.05,10
evogp,nguyen/8,32,100,4.9,26.062,8
operon,nguyen/9,32,0,6.505,23.193,15
operon,nguyen/9,32,1,5.861,20.86,15
operon,nguyen/9,32,2,6.389,22.962,15
operon,nguyen/9,32,4,7.534,26.983,15
operon,nguyen/9,32,8,8.303,30.66,16
operon,nguyen/9,32,16,7.968,32.491,15
operon,nguyen/9,32,32,7.994,36.861,14
operon,nguyen/9,32,64,8.649,40.651,12
operon,nguyen/9,32,100,8.518,40.7,14
evogp,nguyen/9,32,0,1.715,6.955,7
evogp,nguyen/9,32,1,0.999,4.398,8
evogp,nguyen/9,32,2,0.787,4.185,8
evogp,nguyen/9,32,4,1.016,6.724,9
evogp,nguyen/9,32,8,1.314,12.645,7
evogp,nguyen/9,32,16,1.913,21.603,8
evogp,nguyen/9,32,32,2.115,20.187,8
evogp,nguyen/9,32,64,1.565,26.433,7
evogp,nguyen/9,32,100,0.147,26.822,4
operon,nguyen/10,32,0,6.505,23.193,15
operon,nguyen/10,32,1,5.944,20.985,14
operon,nguyen/10,32,2,5.63,19.588,15
operon,nguyen/10,32,4,6.721,23.516,16
operon,nguyen/10,32,8,8.713,30.867,16
operon,nguyen/10,32,16,8.521,33.269,15
operon,nguyen/10,32,32,8.545,33.76,14
operon,nguyen/10,32,64,8.715,35.605,15
operon,nguyen/10,32,100,7.064,33.413,14
evogp,nguyen/10,32,0,1.715,6.955,7
evogp,nguyen/10,32,1,1.095,4.841,9
evogp,nguyen/10,32,2,0.841,4.62,11
evogp,nguyen/10,32,4,0.816,5.316,7
evogp,nguyen/10,32,8,1.218,10.975,7
evogp,nguyen/10,32,16,2.079,21.915,8
evogp,nguyen/10,32,32,2.863,22.697,9
evogp,nguyen/10,32,64,3.246,26.526,9
evogp,nguyen/10,32,100,2.857,25.798,9
operon,feynman/I.12.1,64,0,12.423,45.431,28
operon,feynman/I.12.1,64,1,9.717,34.598,29
operon,feynman/I.12.1,64,2,8.6,29.716,30
operon,feynman/I.12.1,64,4,11.365,39.35,30
operon,feynman/I.12.1,64,8,11.594,41.094,29
operon,feynman/I.12.1,64,16,9.858,35.951,29
operon,feynman/I.12.1,64,32,14.3,54.272,28
operon,feynman/I.12.1,64,64,13.972,53.612,27
operon,feynman/I.12.1,64,100,14.428,54.579,28
evogp,feynman/I.12.1,64,0,1.715,6.955,7
evogp,feynman/I.12.1,64,1,1.424,5.705,9
